iConf CONFORMER     FL  occ    crg   Em0  pKa0 ne nH    vdw0    vdw1    tors    epol   dsolv   extra    history
00001 NAI-aA0801_001 f 0.00 -2.018     0  0.00  0  0 000.000   0.000   0.000   0.000   1.063   0.003 -aO000M000t
00002 NAI-aA0801_002 f 0.00 -2.018     0  0.00  0  0 000.000   0.000   0.000   0.000   0.486   0.003 -aO000M000t
00003 NAI-aA0801_003 f 0.00 -2.018     0  0.00  0  0 000.000   0.000   0.000   0.000   0.864   0.003 -aO000M000t
00004 NAI-AA0801_004 f 0.00 -3.033     0  0.00  0  0 000.000   0.000   0.000   0.000   0.318   3.649 -AO000M000t
00005 NAI-AA0801_005 f 0.00 -3.033     0  0.00  0  0 000.000   0.000   0.000   0.000  -0.362   3.649 -AO000M000t
00006 NAI-AA0801_006 f 0.00 -3.033     0  0.00  0  0 000.000   0.000   0.000   0.000   0.000   3.649 -AO000M000t
00007 NAI-BA0801_007 f 0.00 -3.036     0  0.00  0  0 000.000   0.000   0.000   0.000   0.000   3.649 -BO000M000t
00008 NAI-BA0801_008 f 0.00 -3.036     0  0.00  0  0 000.000   0.000   0.000   0.000  -0.829   3.649 -BO000M000t
00009 NAI-BA0801_009 f 0.00 -3.036     0  0.00  0  0 000.000   0.000   0.000   0.000  -0.391   3.649 -BO000M000t
00010 NAI-1A0801_010 f 0.00 -1.028     0  0.00  0  0 000.000   0.000   0.000   0.000   0.000   4.984 -1O000M000t
00011 NAI-CA0801_011 f 0.00 -3.004     0  0.00  0  0 000.000   0.000   0.000   0.000  -0.001   5.431 -CO000M000t
00012 NAIDMA0801_012 t 0.00  0.000     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   0.000         DMt
